id,WKT
0,"622474.043621004 5304690.43527002 0.0,622512.446797184 5304681.77680205 0.0,"
1,"622458.361420208 5304688.57930543 0.0,622474.043621004 5304690.43527002 0.0,"
2,"622401.615381034 5304673.77746136 0.0,622458.361420208 5304688.57930543 0.0,"
3,"622252.824648021 5304623.81415373 0.0,622401.615381034 5304673.77746136 0.0,"
4,"622247.618221407 5304621.02425148 0.0,622252.824648021 5304623.81415373 0.0,"
5,"622225.154907254 5304613.37694686 0.0,622247.618221407 5304621.02425148 0.0,"
6,"622216.702464341 5304637.08137847 0.0,622225.154907254 5304613.37694686 0.0,"
7,"622199.206168426 5304675.33802843 0.0,622216.702464341 5304637.08137847 0.0,"
8,"622175.471644851 5304716.80948544 0.0,622199.206168426 5304675.33802843 0.0,"
9,"620439.788991157 5304493.98736492 0.0,620313.493402358 5304512.19059411 0.0,"
10,"620471.522583162 5304497.65151999 0.0,620439.788991157 5304493.98736492 0.0,"
11,"620570.007768494 5304491.75751193 0.0,620471.522583162 5304497.65151999 0.0,"
12,"620570.007768494 5304491.75751193 0.0,620743.959098473 5304448.04914095 0.0,"
13,"620743.959098473 5304448.04914095 0.0,620750.598481883 5304443.87391244 0.0,"
14,"620762.802307079 5304448.65450852 0.0,620752.219159279 5304445.77576351 0.0,620750.598481883 5304443.87391244 0.0,"
15,"620788.023130716 5304446.15779671 0.0,620762.802307079 5304448.65450852 0.0,"
16,"620788.023130716 5304446.15779671 0.0,620813.212543177 5304442.30404534 0.0,"
17,"620813.212543177 5304442.30404534 0.0,620862.997382096 5304437.60874347 0.0,"
18,"620862.997382096 5304437.60874347 0.0,620893.991622828 5304435.15552372 0.0,"
19,"620893.649195872 5304430.43398716 0.0,620893.991622828 5304435.15552372 0.0,"
20,"620893.649195872 5304430.43398716 0.0,620878.930188691 5304404.31909331 0.0,"
21,"620930.287518877 5304383.84636004 0.0,620878.930188691 5304404.31909331 0.0,"
22,"620951.994943942 5304350.5666599 0.0,620930.287518877 5304383.84636004 0.0,"
23,"620951.994943942 5304350.5666599 0.0,620985.485651007 5304261.83990423 0.0,"
24,"620985.485651007 5304261.83990423 0.0,620984.552000341 5304254.63760089 0.0,621001.013839087 5304222.57128561 0.0,621009.592681107 5304218.67047887 0.0,"
25,"621061.916492342 5304125.09077853 0.0,621014.955045089 5304219.41663764 0.0,621009.592681107 5304218.67047887 0.0,"
26,"621242.266979714 5304195.57666009 0.0,621061.916492342 5304125.09077853 0.0,"
27,"621266.496184914 5304123.90216406 0.0,621242.266979714 5304195.57666009 0.0,"
28,"621290.039385658 5304046.80960383 0.0,621266.496184914 5304123.90216406 0.0,"
29,"621255.446598113 5304033.86349792 0.0,621290.039385658 5304046.80960383 0.0,"
30,"621219.684044545 5304022.11611647 0.0,621255.446598113 5304033.86349792 0.0,"
31,"621135.71126123 5303973.32135537 0.0,621219.684044545 5304022.11611647 0.0,"
32,"621236.549569867 5303742.17629647 0.0,621126.180712339 5303955.88729356 0.0,621135.71126123 5303973.32135537 0.0,"
33,"622474.043621004 5304690.43527002 0.0,622512.446797184 5304681.77680205 0.0,"
34,"622458.361420208 5304688.57930543 0.0,622474.043621004 5304690.43527002 0.0,"
35,"622401.615381034 5304673.77746136 0.0,622458.361420208 5304688.57930543 0.0,"
36,"622210.804820389 5304174.01065004 0.0,622401.615381034 5304673.77746136 0.0,"
